variable,question,coding,unit
timing_reqt,"The behavior must be completed during a specific time frame or before a specific date.

For this dimension, ignore the constraints of the experiment itself, where researchers needed to measure the behavior by a given date. (Otherwise the answer will be ""yes"" to everything.)

For example: Consider an experiment that nudges healthier eating or workout behaviors. There is no deadline (besides measuring in the experiment) to complete them. In contrast, filing your taxes on time has a naturally-occuring deadline (besides measuring in the experiment).","Yes, No, Unclear",behavior
prosociality,"If the behavior goes in the direction the author wants (up or down), it benefits other individuals, organizations, or society in some way.","Yes, No, Unclear",behavior
delay,"One of the main ways in which the individual may benefit from doing the behavior are delayed far into the future. 

Here, do NOT consider ways in which the individual benefits that are the same as the ways in which society benefits. 

This feature is trying to capture whether -- from a purely selfish angle only, not as part of a community -- a main benefit of doing the behavior is something the individual will have to wait to experience.

For example: One of the main benefits of saving for retirement is very delayed into the future, for the individual. The same goes for dieting. In contrast, recycling behaviors that help the environment has a long-term benefit -- but it is the same for the individual and society.","Yes, No, Unclear",behavior
authority,"Doing the behavior is required by a rule, law, regulation, or authority.","Yes, No, Unclear",behavior
vignette,"For the FOCAL BEHAVIOR ONLY: 

Write two to three sentences describing the situational context of the main behavior being nudged. Focus less on what differentiates the conditions and more the generally shared context.

Follow this structure:
Start with 1-3 sentences on the big picture problem, explaining why the target behavior is important in the given context. Then 1 sentence summarizing what organization or person is nudging whom to do what behavior.

For example:
South Africa has one of the highest number of people living with HIV in the world. Circumcision can greatly reduce the risk of HIV transmission. About half of adult males living in South Africa are not circumcised. A nonprofit would like to encourage men over the age of 18 in South Africa who are not yet circumcised to get circumcised.",Free text,behavior
prompt,"Write a sentence saying what the target behavior is. 

Follow this structure:
""The target behavior is [fill in the blank].""

An example:
The target behavior is getting circumcised.",Free text,behavior
notes,Any open questions or notes about the behavior? Document those here.,Free text,behavior
name,"Give each condition a one or two word name to describe it.

Author's words: Where possible, use the label the research authors give it. Look at tables/figures to see their naming conventions for the conditions and use those if they exist.",Free text,condition
details,"Describe each condition in greater detail. 

Author's words: If the authors have a clear description of each condition in the paper itself, you can copy it here instead of paraphrasing. If their description is not clear enough on its own, or is very verbose, please paraphrase here.

DO NOT mention specific ""nudge"" or ""choice architecture"" concepts here. If the authors do, and you are quoting them, paraphrase over those using brackets [xx]. Specific vocabulary words naming techniques or concepts should appear under ""condition_nudge"".",Free text,condition
nudge,"What nudge concept did the authors mean to use in each condition if any? 

Make sure you are as true as possible to the vocabulary words that the authors use to describe the intervention as a nudge or choice architecture concept in action.

Authors words: If the authors of the paper provide clear language on this, you can copy it here.",Free text,condition
type,"Is the condition considered a control or treatment in the original source? 

If there is no control, just call all of them treatment. 

If a control, specify: 
do-nothing control (e.g. no email sent)
plain vanilla control (e.g., the researcher took the treatment email and stripped out all interventions from it, making it a plain control email; it is created for the research and intended to be bland)
business as usual control (e.g., the email the organization was historically sending)
business as usual do-nothing control (e.g., the organization historically did nothing)
",treatment/do nothing control/plain vanilla control/business as usual control / business as usual do-nothing control,condition
message,"Does the condition contain a major messaging component?

""Y"" indicates that a big part of the condition is about changing language and / or visuals, rather than exclusively about structuring a process, digital, or physical environment or changing incentives.

If it is a do-nothing intervention, select do-nothing.",Y/N/Do-nothing,condition
touchpoints_core,"How many times does the condition create a new touchpoint with the participant at different points in time, independent of any action by the participant, before the outcome is measured? I.e., an initial touchpoint + 1 or more follow-ups, all leading to generating the measured result. 

For example, an initial email is sent and then one week later another is sent = 2 touchpoints.

This will just be ""1"" for many experiments. If a do-nothing condition, the touchpoints will be ""0"".",A whole number,condition
touchpoints_max,"What is the maximum number of times the condition creates a new touchpoint at different points in time with the participant, including for reasons dependent on actions by the participant, before the outcome is measured? I.e., an initial touchpoint + 1 or more reminders because a participant hasn't responded, all leading to generating the measured result. 

For example, only if a participant doesn't respond to the first email, then a second email is sent = max 2 touchpoints. (The core touchpoints here is 1.)

If a do-nothing condition, the touchpoints will be ""0"".",A whole number,condition
financial,"Does the condition involve financial incentives?

These need not be behaviorally informed. Note this is not about the context being financial, but the condition involving financial incentives.

Note: If all participants are paid for participating in the study, regardless of condition, this does NOT count as the condition being financial. It should be something particular to the given condition.",Y/N,condition
educational,"Does the condition involve providing education or training (behaviorally informed or not)? 

Note: A ""Y"" here goes far beyond just providing information. It should be a more intensive educational offering.",Y/N,condition
forbid,"Does the condition forbid any options or restrict the choice situation in some way?

Meaning, there are some choices or actions the individual can no longer take if they are in the given condition.",Y/N,condition
channel_snailmail,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it snailmail, i.e., postal mail? This could be a letter, postcard, or other physical mail.",Y/N,condition
channel_email,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it electronic mail, i.e., email?",Y/N,condition
channel_paperlive,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it on physical paper delivered in person? This might be the case with an in-classroom pen-and-paper experiment, or handing a physical flyer to people in person door to door.",Y/N,condition
channel_inperson,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it in person? This might be a discussion live at a retail store, or the physical redesign of the retail store. Both are delivered live, in person, as an experience.",Y/N,condition
channel_mobileapp,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it a mobile app? This might include notifications, the layout of the app, etc.",Y/N,condition
channel_online,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it online? This might be a website or intranet site.",Y/N,condition
channel_sms,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it sms, i.e., text message?",Y/N,condition
channel_phone,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it a phone call or voicemail?",Y/N,condition
channel_nothing,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it nothing? I.e., a do-nothing control?",Y/N,condition
channel_other,"What is the channel or delivery mechanism of the condition? (It may be the same across conditions, or different.) 

Is it none of the categories to left? If so, please describe it.",Please describe if other.,condition
index_image,"Please create a file (png, jpg, pdf) of the intervention in each condition. Focus on the part that a participant experienced -- ideally, this is a screenshot of the email, or the website, or whatever they saw. 

If one of the conditions is a combination of prior conditions, create a file that joins those images or pdfs together into a single file, to represent that condition.

If there is no image or visual stimulus, write NA. If there is just verbatim language, such as from a text message, but not an image of it, see the column called condition_text.

Please name the file using the following: 
type (A or P)_ paper index_experiment index_condition_index_material

For example
Meaning if it is an academic paper (A), paper_index 15, experiment_index 12, condition_index 3, and it is an email, you would write: 
A_15_12_3_email","A_15_12_3_email, for example",condition
image_URL,"Save the file of the intervention in our google drive folder. Then click ""share using google drive"", copy the URL that points to that file, and paste it below.

Make sure this is the link to the actual image, not just to the folder.",URL,condition
text,"If the intervention is primarily comprised of wording (subject line, text message) without important formatting or graphics, paste it verbatim here. 

If not, just write NA. 

If it is complicated, explain here.

Note: If you are not filling out this column and not filling out the image column, then note in the last column of this worksheet that we need to get these stimuli from the authors. ",Free text (copied from stimulus),condition
confounds,"Please take a minute to consider the set of conditions. Are there any potential features of the conditions that are NOT captured in our coding and that might impact outcomes? 

Technically, these would be ""artifacts"" as they might drive outcomes but aren't accounted for in the authors' or our coding. 

Please note them here as they are potential threats to internal validity.",Free text,condition
sample,"How many units (typically individuals, but it could be clusters) were randomized into each condition?

Note: On the results tab, we capture this by behavioral variable. Sometimes it will be the same as written here. Other times, due to incomplete data collection for some behavioral outcomes, it is a smaller number than you'll write below. This column on the condition tab should be the largest number. ",Number,condition
notes,"Use this space to write out anything important about the condition that you think is not well captured already by other columns, and that is important for understanding its deployment and /or efficacy in the experiment.",Free text,condition
