,Paper_Exp_ID,Behavior,Variable,Human Answer,GPT Answer,GPT Cost
75,A_55,use of MyTax,prosociality,No,Unclear,0.046740000000000004
76,A_55,use of MyTax,delay,Unclear,Unclear,0.039420000000000004
77,A_55,use of MyTax,authority,No,Unclear,0.023489999999999997
78,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_priority,secondary,none,0.05622
79,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_focal,not,Behavior 1/focal,0.045509999999999995
80,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548
81,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_metric,continuous,continuous,0.04731
82,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_selfreport,N,N,0.0435
83,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,financial_reqt,Yes,Unclear,0.03018
84,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,travel_reqt,No,No,0.02136
85,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,planning_reqt,Yes,Unclear,0.03666
86,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,location_reqt,No,No,0.02949
87,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,timing_reqt,No,No,0.06273000000000001
88,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,prosociality,No,Unclear,0.05571
89,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,delay,Yes,Yes,0.0486
90,A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,authority,No,Unclear,0.023909999999999997
91,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_priority,secondary,none,0.05622
92,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_focal,not,Behavior 1/focal,0.045509999999999995
93,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548
94,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_metric,continuous,continuous,0.04731
95,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_selfreport,N,No,0.0435
96,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,financial_reqt,Yes,Unclear,0.03018
97,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,travel_reqt,No,No,0.02136
98,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,planning_reqt,Yes,Unclear,0.03666
99,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,location_reqt,No,No,0.02949
100,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,timing_reqt,No,No,0.06273000000000001
101,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,prosociality,No,Unclear,0.05571
102,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,delay,Yes,Yes,0.0486
103,A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,authority,No,Unclear,0.023909999999999997
104,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_priority,secondary,none,0.05622
105,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_focal,not,Behavior 1/focal,0.045509999999999995
106,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548
107,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_metric,continuous,continuous,0.04731
108,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_selfreport,N,N,0.0435
109,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,financial_reqt,Yes,Unclear,0.03018
110,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,travel_reqt,No,No,0.02136
111,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,planning_reqt,Yes,Unclear,0.03666
112,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,location_reqt,No,No,0.02949
113,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,timing_reqt,No,No,0.06273000000000001
114,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,prosociality,No,Unclear,0.05571
115,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,delay,Yes,Yes,0.0486
116,A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,authority,No,Unclear,0.023909999999999997
117,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_priority,secondary,none,0.05619
118,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_focal,not,Behavior 1/focal,0.04548
119,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_focal_estimate,Estimate,Estimate,0.04545
120,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_metric,categorical,"The text does not provide information on the nature of the behavioral variable ""Automatic transaction at t<U+202F>=<U+202F>13 weeks.""",0.04917
121,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_selfreport,N,N,0.043469999999999995
122,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,financial_reqt,Yes,Unclear,0.030149999999999993
123,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,travel_reqt,No,No,0.02133
124,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,planning_reqt,Yes,Unclear,0.03663
125,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,location_reqt,No,Unclear,0.029519999999999998
126,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,timing_reqt,No,Unclear,0.06276
127,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,prosociality,No,Unclear,0.05568
128,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,delay,Yes,Unclear,0.04863
129,A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,authority,No,Unclear,0.02388
130,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,behavior_priority,secondary,"The text does not provide information on the behavioral outcome labeled as ""Automatic transaction at t<U+202F>=<U+202F>38 weeks.""",0.05799
131,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,behavior_focal,not,Intention 1/ focal,0.04554
132,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,behavior_focal_estimate,Estimate,Estimate,0.04545
133,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,behavior_metric,categorical,continuous,0.047279999999999996
134,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,behavior_selfreport,N,N,0.043469999999999995
135,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,financial_reqt,Yes,Unclear,0.030149999999999993
136,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,travel_reqt,No,No,0.02133
137,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,planning_reqt,Yes,Unclear,0.03663
138,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,location_reqt,No,Unclear,0.029519999999999998
139,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,timing_reqt,No,Unclear,0.06276
140,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,prosociality,No,Unclear,0.05568
141,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,delay,Yes,Unclear,0.04863
142,A_62,Automatic transaction at t<U+202F>=<U+202F>38 weeks,authority,No,Unclear,0.02388
143,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,behavior_priority,secondary,none,0.05619
144,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,behavior_focal,not,Behavior 1/focal,0.04548
145,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,behavior_focal_estimate,Estimate,Estimate,0.04545
146,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,behavior_metric,categorical,"The text does not provide information on whether the behavioral outcome ""Automatic transaction at t<U+202F>=<U+202F>4 weeks"" is categorical or continuous.",0.04935
147,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,behavior_selfreport,N,N,0.043469999999999995
148,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,financial_reqt,Yes,Unclear,0.030149999999999993
149,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,travel_reqt,No,No,0.02133
150,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,planning_reqt,Yes,Unclear,0.03663
151,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,location_reqt,No,Unclear,0.029519999999999998
152,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,timing_reqt,No,Unclear,0.06276
153,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,prosociality,No,Unclear,0.05568
154,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,delay,Yes,Unclear,0.04863
155,A_62,Automatic transaction at t<U+202F>=<U+202F>4 weeks,authority,No,Unclear,0.02388
156,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,behavior_priority,primary,none,0.05622
157,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,behavior_focal,not,Behavior 1/focal,0.045509999999999995
158,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548
159,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,behavior_metric,continuous,continuous,0.04734
160,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,behavior_selfreport,N,N,0.0435
161,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,financial_reqt,Yes,Unclear,0.03018
162,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,travel_reqt,No,No,0.02136
163,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,planning_reqt,Yes,Unclear,0.03666
164,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,location_reqt,No,No,0.02949
165,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,timing_reqt,No,No,0.06273000000000001
166,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,prosociality,No,Unclear,0.05571
167,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,delay,Yes,Yes,0.0486
168,A_62,Total buffer savings at t<U+202F>=<U+202F>13 weeks,authority,No,Unclear,0.023909999999999997
169,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,behavior_priority,primary,none,0.05622
170,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,behavior_focal,not,Behavior 1/focal,0.045509999999999995
171,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548
172,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,behavior_metric,continuous,continuous,0.04731
173,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,behavior_selfreport,N,N,0.0435
174,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,financial_reqt,Yes,Unclear,0.03018
175,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,travel_reqt,No,No,0.02136
176,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,planning_reqt,Yes,Unclear,0.03666
177,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,location_reqt,No,No,0.02949
178,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,timing_reqt,No,No,0.06273000000000001
179,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,prosociality,No,Unclear,0.05571
180,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,delay,Yes,Yes,0.0486
181,A_62,Total buffer savings at t<U+202F>=<U+202F>38 weeks,authority,No,Unclear,0.023909999999999997
182,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,behavior_priority,primary,none,0.05622
183,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,behavior_focal,focal,Behavior 1/focal,0.045509999999999995
184,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548
185,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,behavior_metric,continuous,"The text does not provide information on the nature of the behavioral variable ""Total buffer savings at t<U+202F>=<U+202F>4 weeks.""",0.049260000000000005
186,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,behavior_selfreport,N,N,0.0435
187,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,financial_reqt,Yes,Unclear,0.03018
188,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,travel_reqt,No,No,0.02136
189,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,planning_reqt,Yes,Unclear,0.03666
190,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,location_reqt,No,No,0.02949
191,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,timing_reqt,No,No,0.06273000000000001
192,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,prosociality,No,Unclear,0.05571
193,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,delay,Yes,Yes,0.0486
194,A_62,Total buffer savings at t<U+202F>=<U+202F>4 weeks,authority,No,Unclear,0.023909999999999997
195,A_62,click rate - email opt out,behavior_priority,secondary,none,0.05586
196,A_62,click rate - email opt out,behavior_focal,not,Behavior 1/focal,0.04515
197,A_62,click rate - email opt out,behavior_focal_estimate,Estimate,Estimate,0.04512
198,A_62,click rate - email opt out,behavior_metric,categorical,categorical,0.047009999999999996
199,A_62,click rate - email opt out,behavior_selfreport,N,N,0.04313999999999999
200,A_62,click rate - email opt out,financial_reqt,No,Unclear,0.029819999999999996
201,A_62,click rate - email opt out,travel_reqt,No,No,0.020999999999999998
202,A_62,click rate - email opt out,planning_reqt,No,No,0.036239999999999994
203,A_62,click rate - email opt out,location_reqt,No,No,0.02913
204,A_62,click rate - email opt out,timing_reqt,No,No,0.062369999999999995
205,A_62,click rate - email opt out,prosociality,No,Unclear,0.055349999999999996
206,A_62,click rate - email opt out,delay,No,Unclear,0.0483
207,A_62,click rate - email opt out,authority,No,Unclear,0.023549999999999998
208,A_62,click rate - personalized website,behavior_priority,secondary,secondary,0.05583
209,A_62,click rate - personalized website,behavior_focal,not,"Vaccination uptake, focal",0.04518
210,A_62,click rate - personalized website,behavior_focal_estimate,Estimate,Estimate,0.045090000000000005
211,A_62,click rate - personalized website,behavior_metric,categorical,continuous,0.046919999999999996
212,A_62,click rate - personalized website,behavior_selfreport,N,N,0.043109999999999996
213,A_62,click rate - personalized website,financial_reqt,No,Unclear,0.029789999999999997
214,A_62,click rate - personalized website,travel_reqt,No,No,0.02097
215,A_62,click rate - personalized website,planning_reqt,No,No,0.03621
216,A_62,click rate - personalized website,location_reqt,No,No,0.029099999999999997
217,A_62,click rate - personalized website,timing_reqt,No,No,0.06234
218,A_62,click rate - personalized website,prosociality,No,Unclear,0.05532
219,A_62,click rate - personalized website,delay,No,Unclear,0.04827
220,A_62,click rate - personalized website,authority,No,Unclear,0.02352
221,A_87,Appointment link click,behavior_priority,secondary,secondary,0.06227999999999999
222,A_87,Appointment link click,behavior_focal,not,"Behavior 1 (Did the participant get a first shot of a COVID-19 vaccine within the first month after the vaccine became available to him/her?), focal",0.06659999999999999
223,A_87,Appointment link click,behavior_focal_estimate,Estimate,Estimate,0.04065
224,A_87,Appointment link click,behavior_metric,categorical,categorical,0.061410000000000006
225,A_87,Appointment link click,behavior_selfreport,N,N,0.04463999999999999
226,A_87,Appointment link click,financial_reqt,No,No,0.03527999999999999
227,A_87,Appointment link click,travel_reqt,No,No,0.021179999999999997
228,A_87,Appointment link click,planning_reqt,No,No,0.04175999999999999
229,A_87,Appointment link click,location_reqt,No,No,0.02067
230,A_87,Appointment link click,timing_reqt,Yes,No,0.052289999999999996
231,A_87,Appointment link click,prosociality,No,Yes,0.052379999999999996
232,A_87,Appointment link click,delay,Yes,Unclear,0.04467
233,A_87,Appointment link click,authority,No,Unclear,0.04764
234,A_87,Days to vaccination,behavior_priority,secondary,secondary,0.06227999999999999
235,A_87,Days to vaccination,behavior_focal,not,"Behavior 1 (Did the participant get a first shot of a COVID-19 vaccine within the first month after the vaccine became available to him/her?), focal",0.06659999999999999
236,A_87,Days to vaccination,behavior_focal_estimate,Estimate,Estimate,0.04065
237,A_87,Days to vaccination,behavior_metric,continuous,continuous,0.06135
238,A_87,Days to vaccination,behavior_selfreport,N,N,0.04463999999999999
239,A_87,Days to vaccination,financial_reqt,No,No,0.03527999999999999
240,A_87,Days to vaccination,travel_reqt,Yes,Unclear,0.021239999999999995
241,A_87,Days to vaccination,planning_reqt,Yes,Unclear,0.041819999999999996
242,A_87,Days to vaccination,location_reqt,Yes,Unclear,0.02073
243,A_87,Days to vaccination,timing_reqt,Yes,No,0.052289999999999996
244,A_87,Days to vaccination,prosociality,Yes,Yes,0.052379999999999996
245,A_87,Days to vaccination,delay,Yes,"The text does not provide information on the behavioral outcome named ""Days to vaccination.""",0.04551
246,A_87,Days to vaccination,authority,No,Unclear,0.04764
247,A_87,Vaccination rate within 30 days,behavior_priority,primary,primary,0.06239999999999999
248,A_87,Vaccination rate within 30 days,behavior_focal,focal,"Behavior 1 (Did the participant get a first shot of a COVID-19 vaccine within the first month after the vaccine became available to him/her?), focal",0.06672
249,A_87,Vaccination rate within 30 days,behavior_focal_estimate,Exact,Exact,0.040709999999999996
250,A_87,Vaccination rate within 30 days,behavior_metric,categorical,continuous,0.06147
251,A_87,Vaccination rate within 30 days,behavior_selfreport,N,N,0.044759999999999994
252,A_87,Vaccination rate within 30 days,financial_reqt,No,No,0.035399999999999994
253,A_87,Vaccination rate within 30 days,travel_reqt,Yes,No,0.0213
254,A_87,Vaccination rate within 30 days,planning_reqt,Yes,No,0.041879999999999994
255,A_87,Vaccination rate within 30 days,location_reqt,Yes,Unclear,0.020849999999999997
256,A_87,Vaccination rate within 30 days,timing_reqt,Yes,Yes,0.05241
257,A_87,Vaccination rate within 30 days,prosociality,Yes,Yes,0.0525
258,A_87,Vaccination rate within 30 days,delay,Yes,Unclear,0.04479
259,A_87,Vaccination rate within 30 days,authority,No,Unclear,0.047760000000000004
260,A_30,"change in BMI, baseline to 12 mo",behavior_priority,secondary,none,0.062459999999999995
261,A_30,"change in BMI, baseline to 12 mo",behavior_focal,not,Behavior 1 (Did the participant get a first shot of a COVID-19 vaccine within the first month after the vaccine became available to him/her?)/focal,0.0669
262,A_30,"change in BMI, baseline to 12 mo",behavior_focal_estimate,Exact,Estimate,0.04083
263,A_30,"change in BMI, baseline to 12 mo",behavior_metric,continuous,continuous,0.061529999999999994
264,A_30,"change in BMI, baseline to 12 mo",behavior_selfreport,N,N,0.04482
265,A_30,"change in BMI, baseline to 12 mo",financial_reqt,No,Unclear,0.035519999999999996
266,A_30,"change in BMI, baseline to 12 mo",travel_reqt,No,No,0.02136
267,A_30,"change in BMI, baseline to 12 mo",planning_reqt,No,No,0.04193999999999999
268,A_30,"change in BMI, baseline to 12 mo",location_reqt,No,Unclear,0.020909999999999995
269,A_30,"change in BMI, baseline to 12 mo",timing_reqt,No,No,0.057929999999999995
270,A_30,"change in BMI, baseline to 12 mo",prosociality,No,Unclear,0.05262
271,A_30,"change in BMI, baseline to 12 mo",delay,Yes,Yes,0.044789999999999996
272,A_30,"change in BMI, baseline to 12 mo",authority,No,No,0.024210000000000002
273,A_30,"change in BMI, baseline to 24 mo",behavior_priority,secondary,none,0.062459999999999995
274,A_30,"change in BMI, baseline to 24 mo",behavior_focal,not,Behavior 1 (Did the participant get a first shot of a COVID-19 vaccine within the first month after the vaccine became available to him/her?)/focal,0.0669
275,A_30,"change in BMI, baseline to 24 mo",behavior_focal_estimate,Exact,Estimate,0.04083
276,A_30,"change in BMI, baseline to 24 mo",behavior_metric,continuous,continuous,0.061529999999999994
277,A_30,"change in BMI, baseline to 24 mo",behavior_selfreport,N,N,0.04482
278,A_30,"change in BMI, baseline to 24 mo",financial_reqt,No,No,0.03545999999999999
279,A_30,"change in BMI, baseline to 24 mo",travel_reqt,No,No,0.02136
280,A_30,"change in BMI, baseline to 24 mo",planning_reqt,No,Unclear,0.041999999999999996
281,A_30,"change in BMI, baseline to 24 mo",location_reqt,No,Unclear,0.020909999999999995
282,A_30,"change in BMI, baseline to 24 mo",timing_reqt,No,No,0.057929999999999995
283,A_30,"change in BMI, baseline to 24 mo",prosociality,No,Unclear,0.05262
284,A_30,"change in BMI, baseline to 24 mo",delay,Yes,Yes,0.044789999999999996
285,A_30,"change in BMI, baseline to 24 mo",authority,No,No,0.024210000000000002
286,A_30,"change in HDL cholesterol, baseline to 12 mo",behavior_priority,secondary,"The text does not provide information on a behavioral outcome named ""change in HDL cholesterol, baseline to 12 mo.""",0.0639
287,A_30,"change in HDL cholesterol, baseline to 12 mo",behavior_focal,not,Behavior 1 (Did the participant get a first shot of a COVID-19 vaccine within the first month after the vaccine became available to him/her?)/focal,0.06695999999999999
288,A_30,"change in HDL cholesterol, baseline to 12 mo",behavior_focal_estimate,Exact,Estimate,0.04089
289,A_30,"change in HDL cholesterol, baseline to 12 mo",behavior_metric,continuous,continuous,0.06159
290,A_30,"change in HDL cholesterol, baseline to 12 mo",behavior_selfreport,N,N,0.044879999999999996
291,A_30,"change in HDL cholesterol, baseline to 12 mo",financial_reqt,No,Unclear,0.03558
292,A_30,"change in HDL cholesterol, baseline to 12 mo",travel_reqt,No,No,0.021419999999999998
293,A_30,"change in HDL cholesterol, baseline to 12 mo",planning_reqt,No,Unclear,0.04206
294,A_30,"change in HDL cholesterol, baseline to 12 mo",location_reqt,No,Unclear,0.020969999999999996
295,A_30,"change in HDL cholesterol, baseline to 12 mo",timing_reqt,No,No,0.05799
296,A_30,"change in HDL cholesterol, baseline to 12 mo",prosociality,No,Unclear,0.05268
297,A_30,"change in HDL cholesterol, baseline to 12 mo",delay,Yes,Yes,0.04485
298,A_30,"change in HDL cholesterol, baseline to 12 mo",authority,No,Unclear,0.02433
299,A_30,"change in HDL cholesterol, baseline to 24 mo",behavior_priority,secondary,none,0.06251999999999999
300,A_30,"change in HDL cholesterol, baseline to 24 mo",behavior_focal,not,Behavior 1 (Did the participant get a first shot of a COVID-19 vaccine within the first month after the vaccine became available to him/her?)/focal,0.06695999999999999
301,A_30,"change in HDL cholesterol, baseline to 24 mo",behavior_focal_estimate,Exact,Estimate,0.04089
302,A_30,"change in HDL cholesterol, baseline to 24 mo",behavior_metric,continuous,continuous,0.06159
303,A_30,"change in HDL cholesterol, baseline to 24 mo",behavior_selfreport,N,N,0.044879999999999996
